,bld1,bld2,bld3,bld4,bld5,bld6,bld7,bld8,bld9,bld10,date,ist,segmentid
0,10.877067,10.704135,10.701202,10.698269,10.58717,10.472404,10.302353,10.129372,10.015439,9.900673,0.0,10.21,1.0
1,10.00774,10.063808,10.170042,10.168942,10.10601,10.162126,10.100144,9.989045,9.935112,10.039513,0.0,10.16,1.0
2,9.928414,9.755481,9.532548,9.469616,9.633898,9.909083,10.235317,10.513218,11.281952,11.402019,0.0,12.16,1.0
3,11.899086,12.006154,12.052388,11.775004,11.547356,11.214423,11.38149,11.594891,11.645625,11.809859,0.0,12.38,1.0
4,12.08976,12.24416,12.243943,12.130962,12.078862,12.185096,12.23133,12.229231,12.009965,11.783366,0.0,12.1,1.0
5,11.780433,11.564883,11.104568,10.501802,9.988703,10.320103,10.102837,9.932738,9.536972,8.82604,0.0,8.94,1.0
6,8.598489,8.198174,7.752741,7.802308,7.632209,7.356443,7.57351,7.570577,7.617645,7.673761,0.0,8.1,1.0
7,7.721779,7.608847,7.114248,7.102981,6.830049,6.640745,6.416258,5.944049,5.93329,5.763074,0.0,5.99,1.0
8,5.622283,5.57396,5.360667,5.563501,5.270398,5.268982,5.435037,5.54908,5.941401,6.441473,0.0,7.05,1.0
9,6.876121,7.371927,7.811726,8.039521,8.159276,8.169108,8.013333,7.950458,7.795671,7.735672,0.0,8.38,1.0
10,8.217674,8.310403,8.424012,8.425211,8.365018,8.467307,9.180636,9.025896,8.966324,8.810644,0.0,8.94,1.0
11,8.804906,8.69667,8.635231,8.627842,8.576987,8.5325,8.472861,8.421797,8.252845,8.384197,0.0,8.6,1.0
12,8.431891,8.385499,8.330164,8.223418,7.732914,7.7714,7.763906,7.801548,7.747658,7.637804,0.0,7.77,1.0
13,7.58198,7.472237,7.337611,7.264482,7.252196,7.30057,7.260284,6.972401,6.985715,6.895479,0.0,6.99,1.0
14,6.840576,7.050348,7.317935,7.435867,7.560099,7.570094,7.514916,7.566489,7.602615,7.633035,0.0,7.88,1.0
15,7.655219,7.637854,7.577683,7.460556,7.227705,7.057189,6.944354,6.876495,6.820643,6.7884,0.0,6.99,1.0
16,6.750385,6.753882,6.696747,6.730633,6.817178,6.967284,6.991433,6.953,6.908623,6.797392,0.0,7.27,1.0
17,7.057056,7.118845,7.223725,7.263909,7.222324,7.232128,7.23434,7.226162,7.228911,7.295531,0.0,7.49,1.0
18,7.323214,7.308153,7.257351,7.616735,7.659594,7.609534,7.604873,7.674291,7.684499,8.269833,0.0,8.27,1.0
19,8.406384,8.704887,9.081196,9.424457,9.673414,9.875356,10.086779,10.421484,11.151928,11.895144,0.0,12.04,1.0
20,12.349865,12.339135,12.020923,12.038101,12.187216,12.434755,12.965154,13.840377,14.113234,14.419842,0.0,14.32,1.0
21,14.641892,14.303663,13.952046,13.390283,12.769708,12.281581,11.816192,11.60932,11.05397,9.774105,0.0,9.21,1.0
22,8.914156,8.16686,8.331756,7.873168,6.687809,5.810976,5.341705,5.170991,5.229677,5.399538,0.0,5.61,1.0
23,5.615901,5.907979,6.387347,6.891,7.39363,7.260866,7.249002,7.219962,7.265677,7.279127,0.0,7.44,1.0
24,7.253455,7.171425,7.001717,6.695795,6.502466,6.056776,5.764648,5.560369,5.385706,5.418242,0.0,4.83,1.0
25,4.031286,4.04967,3.66742,3.810698,4.035047,4.508096,4.962191,5.018877,4.964482,4.777992,0.0,5.33,1.0
26,4.681018,4.62847,4.621508,4.61672,4.600168,4.664597,4.629321,4.600075,4.56801,4.461893,0.0,5.22,1.0
27,4.295338,4.209845,4.127042,4.041821,3.85683,3.703197,3.700721,3.671925,3.778854,3.826744,0.0,4.61,1.0
28,3.817128,3.928751,4.067983,4.420903,4.819875,5.033359,5.123037,5.30368,5.750483,5.893448,1.0,6.27,1.0
29,6.000436,5.891012,5.96878,6.448091,6.449614,6.536751,6.522434,6.524693,6.657767,6.912989,1.0,7.05,1.0
30,7.187486,7.395918,7.720815,8.088645,8.623244,9.030801,9.46691,9.757272,10.089428,10.519144,1.0,10.05,1.0
31,10.405793,10.610322,10.726221,10.937028,11.014667,11.134184,11.188376,11.255836,11.327252,11.451106,1.0,11.16,1.0
32,11.550833,11.540703,11.636205,11.791558,11.872172,11.839454,11.774248,11.806107,11.881241,12.040859,1.0,11.66,1.0
33,12.150856,12.427956,12.660909,12.764398,12.738971,12.687642,12.849241,12.824735,12.661986,12.27071,1.0,11.43,1.0
34,11.287044,10.565065,9.794884,8.877787,7.928971,6.940453,6.218998,5.438423,4.964956,4.596639,1.0,5.38,1.0
35,4.284036,3.976154,3.794875,3.726032,3.581408,3.580222,3.74087,4.0004,4.254757,4.580287,1.0,5.0,1.0
36,4.929629,5.15622,5.672786,6.196528,6.663758,7.352638,7.452539,7.931956,7.854973,7.94937,1.0,8.1,1.0
37,8.328502,8.522697,8.714156,8.983428,9.187584,9.608711,10.270546,10.5934,10.600286,10.563594,1.0,10.44,1.0
38,10.665936,10.532857,10.55241,10.479404,10.211888,9.926208,9.733059,9.558117,9.42336,9.281418,1.0,9.1,1.0
39,9.158035,8.990396,8.869314,8.691572,8.508828,8.420412,8.29206,8.210414,8.096046,7.971062,1.0,7.83,1.0
40,7.764655,7.656527,7.541137,7.475406,7.404104,7.451609,7.437563,7.41863,7.297355,7.525825,1.0,7.6,1.0
41,7.462996,7.346785,7.224556,7.104455,6.939874,6.823239,6.757349,6.653789,6.590506,6.579684,1.0,6.72,1.0
42,6.539964,6.440394,6.476168,6.423993,6.358105,6.403944,6.401995,6.338924,6.292878,6.25051,1.0,6.38,1.0
